"sales_order_number","customer_id","order_date","shipping_method","terms","web_order","subtotal","total","order_weight","first_order_month","months_since_first_order"
31097,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,17.73,17.73,0,2023-01-01,6
31098,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,20633.5,20633.5,0,2023-01-01,6
31099,"M030-MORGO",2023-07-26,NA,"NET45",FALSE,15606,15606,0,2023-01-01,6
31102,"S039-SMI",2023-07-27,NA,"NET30",FALSE,10805,10805,0,2023-01-01,6
31106,"F015-FORDM",2023-07-27,"CST-D","NET30",FALSE,3800,3800,0,2023-02-01,5
31108,"M030-MORGO",2023-07-28,NA,"NET45",FALSE,2288.3,2288.3,0,2023-01-01,6
31123,"M030-MORGO",2023-07-31,NA,"NET45",FALSE,8500,8500,0,2023-01-01,6
31037,"Y002-YNGTC",2023-07-25,"CST-D",NA,FALSE,2702.25,2702.25,0,2023-01-01,6
31039,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,3272,3272,0,2023-01-01,6
31042,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,3272,3272,0,2023-01-01,6
31043,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,3272,3272,0,2023-01-01,6
31044,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,2454,2454,0,2023-01-01,6
31045,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,3272,3272,0,2023-01-01,6
31079,"V007-VNDRL",2023-07-26,NA,"NET30",FALSE,1438.08,1438.08,0,2023-01-01,6
31081,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,1200.6,1200.6,0,2023-01-01,6
31082,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,6989,6989,0,2023-01-01,6
31083,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,25160.4,25160.4,0,2023-01-01,6
31084,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,20967,20967,0,2023-01-01,6
31086,"M030-MORGO",2023-07-26,"MWS-T","NET45",FALSE,25160.4,25160.4,0,2023-01-01,6
31057,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,1428,1428,0,2023-01-01,6
31058,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,1227,1227,0,2023-01-01,6
31059,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,1284,1284,0,2023-01-01,6
31060,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,306,306,0,2023-01-01,6
31061,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,306,306,0,2023-01-01,6
31062,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,462,462,0,2023-01-01,6
